filepath,label
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-01-01-01.wav,0
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-01-02-01.wav,0
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-02-01-01.wav,0
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-02-02-01.wav,0
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-01-01-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-01-02-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-02-01-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-02-02-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-01-01-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-01-02-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-02-01-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-02-02-01.wav,1
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-01-01-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-01-02-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-02-01-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-02-02-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-01-01-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-01-02-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-02-01-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-02-02-01.wav,2
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-01-01-01-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-01-01-02-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-01-02-01-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-01-02-02-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-02-01-01-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-02-01-02-01.wav,3
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-04-02-02-01-01.wav,3
